REF_DATE,GEO,Statistics,UOM,COORDINATE,VALUE
1998,"Winnipeg, Manitoba [46602]",Youth non-violent crime severity index,Index,29.11,
1998,"Winnipeg, Manitoba [46602]",Weighted clearance rate,Number,29.13,29.94
1998,"Winnipeg, Manitoba [46602]",Violent weighted clearance rate,Number,29.15,47.75
1998,"Winnipeg, Manitoba [46602]",Non-violent weighted clearance rate,Number,29.17,22.22
1998,"Winnipeg, Manitoba [46602]",Percent change in non-violent weighted clearance rate,Percent,29.18,
1998,Saskatchewan [47],Crime severity index,Index,30.1,176.2
1998,Saskatchewan [47],Violent crime severity index,Index,30.3,141.76
1998,Saskatchewan [47],Non-violent crime severity index,Index,30.5,189.44
1998,Saskatchewan [47],Youth crime severity index,Index,30.7,215.13
1998,Saskatchewan [47],Youth violent crime severity index,Index,30.9,126.26
1998,Saskatchewan [47],Youth non-violent crime severity index,Index,30.11,282.81
1998,Saskatchewan [47],Weighted clearance rate,Number,30.13,42.09
1998,Saskatchewan [47],Violent weighted clearance rate,Number,30.15,62.07
1998,Saskatchewan [47],Non-violent weighted clearance rate,Number,30.17,36.34
1998,Saskatchewan [47],Percent change in non-violent weighted clearance rate,Percent,30.18,
1998,"Regina, Saskatchewan [47705]",Crime severity index,Index,31.1,231.3
1998,"Regina, Saskatchewan [47705]",Violent crime severity index,Index,31.3,183.95
1998,"Regina, Saskatchewan [47705]",Non-violent crime severity index,Index,31.5,249.51
1998,"Regina, Saskatchewan [47705]",Youth crime severity index,Index,31.7,
1998,"Regina, Saskatchewan [47705]",Youth violent crime severity index,Index,31.9,
1998,"Regina, Saskatchewan [47705]",Youth non-violent crime severity index,Index,31.11,
1998,"Regina, Saskatchewan [47705]",Weighted clearance rate,Number,31.13,31.41
1998,"Regina, Saskatchewan [47705]",Violent weighted clearance rate,Number,31.15,58.54
1998,"Regina, Saskatchewan [47705]",Non-violent weighted clearance rate,Number,31.17,23.72
1998,"Regina, Saskatchewan [47705]",Percent change in non-violent weighted clearance rate,Percent,31.18,
